date,day1,day2,day3,day4,day5,day6,day7,nextDay
02-01-2000,100,125,133,56,105,140,64,62
09-01-2000 00:00,62,84,141,143,59,185,241,65
16-01-2000 00:00,65,68,82,144,101,249,65,118
23-01-2000 00:00,118,112,99,149,54,242,144,51
30-01-2000 00:00,51,128,93,106,56,206,207,72
06-02-2000 00:00,72,53,130,107,143,180,167,120
13-02-2000 00:00,120,113,80,94,51,249,76,69
20-02-2000 00:00,69,69,116,68,72,240,82,144
27-02-2000 00:00,144,104,129,138,136,167,144,57
05-03-2000 00:00,57,114,67,97,86,98,250,82
12-03-2000 00:00,82,90,100,103,94,250,226,83
19-03-2000 00:00,83,55,106,61,138,160,109,82
26-03-2000 00:00,82,122,101,130,134,61,150,96
02-04-2000 00:00,96,54,90,52,69,249,140,94
09-04-2000 00:00,94,67,115,51,96,102,104,121
16-04-2000 00:00,121,101,66,95,120,139,77,106
23-04-2000 00:00,106,70,94,103,107,106,217,118
30-04-2000 00:00,118,89,57,126,139,221,107,149
07-05-2000 00:00,149,88,130,141,90,73,200,123
14-05-2000 00:00,123,136,65,74,119,203,51,61
21-05-2000 00:00,61,64,112,76,79,85,183,140
28-05-2000 00:00,140,52,103,78,143,129,118,53
04-06-2000 00:00,53,66,75,128,78,135,143,52
11-06-2000 00:00,52,85,69,73,95,120,98,105
18-06-2000 00:00,105,89,127,98,95,102,170,80
25-06-2000 00:00,80,81,74,150,128,201,237,114
02-07-2000 00:00,114,135,142,55,106,127,57,119
09-07-2000 00:00,119,128,110,56,144,64,155,58
16-07-2000 00:00,58,81,81,78,93,167,215,67
23-07-2000 00:00,67,125,71,79,75,174,238,67
30-07-2000 00:00,67,95,83,52,83,111,95,74
06-08-2000 00:00,74,89,81,76,137,138,230,74
13-08-2000 00:00,74,70,140,145,137,77,213,63
20-08-2000 00:00,63,83,145,117,130,171,150,70
27-08-2000 00:00,70,63,115,93,111,82,171,69
03-09-2000 00:00,69,77,84,107,134,138,117,98
10-09-2000 00:00,98,118,57,97,133,107,55,116
17-09-2000 00:00,116,132,126,66,142,197,126,74
24-09-2000 00:00,74,118,82,68,142,220,128,87
01-10-2000 00:00,87,77,111,87,57,77,198,115
08-10-2000 00:00,115,100,77,101,54,217,177,97
15-10-2000 00:00,97,59,142,132,53,140,210,145
22-10-2000 00:00,145,113,100,72,52,219,138,143
29-10-2000 00:00,143,145,84,82,143,208,163,66
05-11-2000 00:00,66,107,93,80,113,93,192,129
12-11-2000 00:00,129,54,137,140,82,105,143,60
19-11-2000 00:00,60,55,88,121,102,123,248,77
26-11-2000 00:00,77,102,117,89,86,123,238,114
03-12-2000 00:00,114,53,100,120,95,245,176,99
10-12-2000 00:00,99,130,134,134,91,118,162,63
17-12-2000 00:00,63,71,142,79,88,159,149,96
24-12-2000 00:00,96,84,67,71,131,88,212,135
31-12-2000 00:00,135,124,60,141,111,187,112,107
07-01-2001,107,99,60,80,129,183,72,138
14-01-2001,138,103,62,125,103,229,86,94
21-01-2001,94,61,51,131,89,220,183,133
28-01-2001,133,56,107,108,118,248,88,125
04-02-2001,125,122,51,60,96,63,130,139
11-02-2001,139,72,147,102,106,138,248,125
18-02-2001,125,118,118,125,99,164,236,62
25-02-2001,62,60,139,108,110,70,241,127
04-03-2001,127,75,148,67,95,144,230,128
11-03-2001,128,133,61,73,118,95,116,94
18-03-2001,94,75,112,52,98,121,177,139
25-03-2001,139,79,92,144,91,239,51,117
01-04-2001,117,126,92,113,148,86,234,120
08-04-2001,120,112,149,107,53,208,165,79
15-04-2001,79,56,141,109,103,70,104,78
22-04-2001,78,53,136,81,55,202,249,140
29-04-2001,140,121,138,66,74,184,124,84
06-05-2001,84,72,54,62,86,166,170,133
13-05-2001,133,133,93,69,125,150,97,68
20-05-2001,68,140,142,146,59,127,143,54
27-05-2001,54,63,84,99,65,141,172,59
03-06-2001,59,113,98,119,89,228,192,64
10-06-2001,64,148,130,110,105,202,149,54
17-06-2001,54,50,108,133,119,208,194,129
24-06-2001,129,51,150,119,100,230,149,140
01-07-2001,140,136,81,72,78,90,200,131
08-07-2001,131,105,134,78,138,127,222,98
15-07-2001,98,98,120,136,131,86,141,133
22-07-2001,133,145,52,62,102,58,163,91
